Country,Region,Lifeexpectancyatbirth,Gross_national_income_percapita,Totalfertilityrate,Meanyearsofschooling,Population25Older_SomeSecondaryEducation,MaternalMortality_per100Kbirths,2011_PPP_GDP_billions,AnnualGrowthPPP_GDP_pct,PctInternetUsers,PctMobilePhone,PctWomenWBankAcct_orMobileMoneyProvider,MandatoryPaidMatLeave_Days,Female_Est_GNI__2011USD,Male_Est_GNI_2011USD,FemaleLaborForcePartRate_15orOlder,MaleLaborForcePartRate_15orOlder,Female_LifeExp,MaleLifeExp,FemaleMeanYrsSchool,MaleYrsSchool,Women_PctSeatsinparliament,BirthRate_PerK_Ages15_19,FossilFuelPercent,RenewableEnergyFinalPct,PerCapitaCO2_emissions,ForestPctOfTotalLand,PctChangeForest,IncomeShareBottom40pct,IncomeShareofTop10pct,IncomeShareTop1pct
Norway,europe,82.3,"68,059",1.7,12.6,95.4,5,347.8,0.7,96.5,107.2,100.0,..,"60,283","75,688",60.2,66.7,84.3,80.3,12.6,12.5,41.4,5.1,56.95163,57.772,6.764301082,33.17786,-0.115284014,23.1,22.3,8.4
Switzerland,europe,83.6,"59,375",1.5,13.4,96.5,5,502.6,1.8,89.7,129.6,98.9,98,"49,275","69,649",62.6,74.1,85.5,81.7,12.7,13.6,29.3,2.8,50.16823,25.29198,4.52737181,31.83015,9.314837406,20.3,25.2,11.9
Ireland,europe,82.1,"55,660",1.8,12.5,88.3,8,341.5,5.6,84.5,103.2,95.3,182,"44,921","66,583",55.1,68.1,83.7,80.4,12.7,12.3,24.3,7.5,85.34282,9.0814,7.851306461,11.02773,63.37634671,20.9,25.4,12.8
Germany,europe,81.2,"46,946",1.6,14.1,96.3,6,"3,811.3",1.1,89.7,129.3,99.2,98,"38,470","55,649",55.3,66.2,83.6,78.8,13.7,14.6,31.5,8.1,78.86255,14.20625,8.901197959,32.69121,1.004256836,20.7,24.8,11.1
"Hong Kong, China (SAR)",asia,84.7,"60,221",1.3,12.0,79.4,5,427.1,2.2,89.4,259.4,94.7,70,"43,852","79,385",54.1,67.8,87.6,81.8,11.6,12.5,..,2.7,93.17288,0.85278,6.175017692,..,..,..,..,..
Australia,oceania,83.3,"44,097",1.8,12.7,90.4,6,"1,135.6",1.2,86.5,113.6,99.2,..,"35,900","52,359",59.7,70.5,85.3,81.3,12.7,12.6,32.7,11.7,89.62563,9.1805,16.171564,16.25828,-2.831804998,18.8,27.8,9.1
Iceland,europe,82.9,"47,566",1.8,12.5,100.0,3,17.2,1.6,99.0,126.1,..,90,"39,246","55,824",72.1,80.6,84.4,81.3,12.3,12.7,38.1,6.3,11.28887,77.02969,6.216022588,0.50374,213.6645888,23.2,23.5,6.8
Sweden,europe,82.7,"47,955",1.9,12.4,88.9,4,480.6,1.1,92.1,125.1,100.0,..,"41,919","53,979",61.1,67.6,84.4,80.9,12.5,12.3,46.1,5.1,25.1171,53.24777,3.863153005,68.92293,0.779804327,22.1,22.9,8.3
Singapore,asia,83.5,"83,793",1.2,11.5,79.6,10,508.0,2.7,88.2,145.7,96.3,105,"74,600","92,163",60.5,76.3,85.6,81.3,11.1,12.0,23.0,3.5,90.57887,0.70864,8.006354851,23.06065,-5.500707252,..,..,14
Netherlands,europe,82.1,"50,013",1.7,12.2,88.3,7,858.2,2.1,94.7,120.6,99.8,112,"40,573","59,536",58.0,68.9,83.8,80.4,11.9,12.5,35.6,3.8,93.461,5.88946,9.249765698,11.17839,9.38623,22.8,23,6.2
Denmark,europe,80.8,"48,836",1.8,12.6,89.3,6,276.4,0.9,97.6,125.1,100.0,126,"41,026","56,732",58.1,65.9,82.8,78.8,12.7,12.4,37.4,4.1,64.92709,33.17028,5.857810475,14.69921,14.70906518,23.3,23.8,12.8
Finland,europe,81.7,"41,779",1.5,12.4,100.0,3,231.2,2.1,88.9,132.2,99.6,147,"35,066","48,689",55.0,62.2,84.6,78.9,12.6,12.3,42.0,5.8,40.20798,43.23526,8.280170318,73.10717,1.79525886,23.4,22.4,7.3
Canada,northamerica,82.3,"43,602",1.5,13.3,100.0,7,"1,632.5",0.5,91.0,89.2,99.9,105,"35,118","52,221",60.9,69.7,84.3,80.3,13.5,13.1,31.7,8.4,74.08906,22.02536,14.86317325,38.16155,-0.359084325,18.9,25.3,13.6
New Zealand,oceania,82.1,"35,108",1.9,12.7,96.9,11,177.6,0.9,90.8,134.9,99.3,112,"26,754","43,745",64.6,75.7,83.9,80.4,12.6,12.8,38.3,19.3,59.74917,30.78918,6.536224061,38.55608,5.117003472,..,..,8.2
United Kingdom,europe,81.2,"39,507",1.8,13.0,84.5,9,"2,670.1",0.7,94.9,117.5,96.1,42,"28,526","50,771",57.1,67.8,83.0,79.5,12.9,13.0,28.9,13.4,80.35177,8.71169,5.598046902,13.06576,13.78689705,19.7,25.4,11.7
United States,northamerica,78.9,"56,140",1.8,13.4,95.6,14,"18,217.0",2.2,87.3,123.7,92.7,..,"44,465","68,061",56.1,68.2,81.4,76.3,13.5,13.4,23.6,19.9,82.42783,8.71694,14.96235813,33.92979,2.748073971,15.2,30.6,20.2
Belgium,europe,81.5,"43,821",1.7,11.8,84.8,7,493.6,1.0,88.7,103.4,98.8,105,"34,928","52,927",47.9,58.9,83.8,79.1,11.6,11.9,41.4,4.7,75.87078,9.20164,8.063732009,22.58388,..,22.6,22.2,6.7
Japan,asia,84.5,"40,799",1.4,12.8,93.6,5,"4,971.8",1.0,84.6,139.2,98.1,98,"28,784","53,384",51.4,70.7,87.5,81.3,13.0,12.6,13.7,3.8,93.02646,6.29736,8.978543246,68.45622,0.036627814,20.3,24.7,10.4
Austria,europe,81.4,"46,231",1.5,12.6,100.0,4,411.2,2.2,87.7,123.5,98.4,112,"32,618","60,303",54.8,65.9,83.8,79.0,12.3,13.0,34.8,7.3,65.66182,34.39499,7.188503059,46.90571,2.581402703,21.1,23.8,8.2
Luxembourg,europe,82.1,"65,543",1.5,12.2,100.0,10,57.0,0.7,97.1,132.2,98.2,112,"53,006","77,851",53.5,62.7,84.2,80.0,11.8,12.6,20.0,4.7,80.5623,9.03131,14.63063474,35.67901,..,19.3,25.4,9.1
Israel,middleeast,82.8,"33,650",3.0,13.0,89.1,5,299.0,1.3,81.6,127.7,93.7,105,"24,616","42,792",59.2,69.1,84.4,81.1,13.0,13.0,27.5,9.6,97.38212,3.70777,7.860663203,7.72643,26.66666435,15.9,27.7,..
Korea,asia,82.8,"36,757",1.1,12.2,95.2,11,"1,899.0",2.3,95.9,129.7,94.7,90,"23,228","50,241",52.8,73.3,85.8,79.7,11.5,12.9,17.0,1.4,81.02848,2.7077,11.55616027,63.35484,-4.062676168,20.3,23.8,12.2
Slovenia,europe,81.2,"32,143",1.6,12.3,97.6,9,67.7,4.4,79.7,118.7,96.9,105,"28,832","35,487",53.4,62.7,83.9,78.4,12.2,12.3,20.0,3.8,61.1142,20.8774,6.549963601,61.97001,5.056905842,24.1,21,6.7
Spain,europe,83.4,"35,041",1.3,9.8,75.8,5,"1,637.9",2.3,86.1,115.9,91.6,112,"28,086","42,250",51.7,63.4,86.1,80.7,9.7,10.0,38.6,7.7,72.95555,16.2541,5.117195257,36.93621,33.58509383,17.5,26.2,9.8
Czechia,europe,79.2,"31,597",1.6,12.7,99.8,4,355.1,2.6,80.7,119.2,78.6,196,"24,114","39,327",52.4,68.4,81.8,76.6,12.5,13.0,20.3,12.0,77.73459,14.82856,9.548956164,34.56358,1.587226292,24.4,22.1,9.5
France,europe,82.5,"40,511",1.9,11.4,83.5,8,"2,649.7",1.5,82.0,108.4,91.3,112,"33,002","48,510",50.3,60.0,85.4,79.6,11.2,11.6,35.7,4.7,46.48797,13.49926,4.529656553,31.23328,18.46967187,20.7,26.6,10.8
Malta,europe,82.4,"34,795",1.5,11.3,78.2,9,18.4,3.1,81.4,140.2,97.0,126,"25,023","44,518",43.3,66.2,84.1,80.5,11.0,11.6,11.9,12.9,97.78846,5.355,3.104813837,1.09375,0,21.9,23.6,11.7
Italy,europe,83.4,"36,141",1.3,10.2,79.6,4,"2,159.8",1.0,74.4,137.5,91.6,150,"26,471","46,360",40.0,58.4,85.4,81.1,10.0,10.5,35.6,5.2,79.94845,16.51685,5.368522458,31.7903,23.18637807,18,25.7,7.5
Estonia,europe,78.6,"30,379",1.6,13.0,100.0,9,40.9,3.6,89.4,145.4,98.4,140,"22,999","38,653",57.0,70.9,82.6,74.1,13.4,12.6,26.7,7.7,13.05622,27.47683,12.43439093,51.33656,-1.35282788,20,24.4,7
Cyprus,asia,80.8,"33,100",1.3,12.1,80.3,7,29.6,2.7,84.4,100.9,90.0,126,"27,791","38,404",57.3,67.2,82.9,78.7,12.0,12.2,17.9,4.6,92.90622,9.94207,5.357263412,18.68723,7.175220356,20,27.4,8.6
Greece,europe,82.1,"24,909",1.3,10.5,64.8,3,269.7,2.2,73.0,115.7,84.5,119,"19,747","30,264",45.3,60.7,84.5,79.6,10.3,10.8,18.7,7.2,82.57464,17.17005,5.94214797,31.68503,23.80115038,17.7,26.2,10.8
